high,last,low,name,open,time,variation,volume
10.030 ,9.840 ,9.348 ,ATOS,9.504 ,2022-10-26  14:37:02,+8.20%,2 237 512 
13.040 ,12.690 ,12.100 ,OVHCLOUD,12.100 ,2022-10-26  14:37:02,+5.84%,138 088 
66.700 ,66.200 ,62.750 ,ERAMET,62.900 ,2022-10-26  14:37:02,+5.00%,74 723 
12.560 ,12.445 ,11.915 ,MCPHY ENERGY,12.150 ,2022-10-26  14:37:02,+4.62%,93 061 
116.900 ,116.200 ,111.800 ,GTT (GAZTRANSPORT ET TEC.),114.100 ,2022-10-26  14:37:02,+4.22%,86 654 
2.172 ,2.138 ,2.066 ,ELIOR GROUP,2.066 ,2022-10-26  14:37:02,+4.09%,858 987 
14.895 ,14.710 ,14.070 ,SCOR,14.100 ,2022-10-26  14:37:02,+3.88%,182 126 
0.886 ,0.879 ,0.835 ,CGG,0.837 ,2022-10-26  14:37:02,+3.85%,6 415 510 
20.030 ,19.935 ,19.230 ,ALSTOM,19.240 ,2022-10-26  14:37:02,+3.56%,855 476 
101.300 ,101.100 ,96.950 ,IPSEN,97.650 ,2022-10-26  14:37:02,+3.22%,35 543 
89.860 ,89.780 ,87.940 ,SODEXO,88.520 ,2022-10-26  14:37:02,+3.03%,166 419 
125.450 ,124.900 ,122.150 ,THALES,122.250 ,2022-10-26  14:37:02,+2.71%,192 469 
103.600 ,102.900 ,99.350 ,TRIGANO,100.200 ,2022-10-26  14:37:02,+2.69%,14 924 
40.640 ,40.440 ,39.840 ,IMERYS,40.060 ,2022-10-26  14:37:02,+2.43%,123 065 
78.300 ,78.140 ,76.100 ,LEGRAND,76.260 ,2022-10-26  14:37:02,+2.22%,251 502 
17.295 ,17.055 ,16.715 ,REXEL,16.715 ,2022-10-26  14:37:02,+2.16%,479 151 
2.275 ,2.230 ,2.164 ,SOLUTIONS 30,2.173 ,2022-10-26  14:37:02,+2.15%,539 242 
15.815 ,15.750 ,15.320 ,GETLINK (ex: EUROTUNNEL),15.400 ,2022-10-26  14:37:02,+2.01%,268 713 
92.270 ,91.750 ,91.080 ,VINCI,91.620 ,2022-10-26  14:37:02,+1.73%,428 650 
14.245 ,14.100 ,13.550 ,FAURECIA,13.865 ,2022-10-26  14:37:02,+1.59%,585 504 
152.800 ,151.000 ,148.100 ,DASSAULT AVIATION,149.300 ,2022-10-26  14:37:02,+1.55%,21 149 
24.040 ,24.000 ,23.640 ,SPIE,23.640 ,2022-10-26  14:37:02,+1.52%,123 455 
112.740 ,111.960 ,110.100 ,SAFRAN,110.200 ,2022-10-26  14:37:02,+1.47%,374 669 
13.950 ,13.820 ,13.390 ,PLASTIC OMNIUM,13.650 ,2022-10-26  14:37:02,+1.32%,95 853 
123.100 ,122.000 ,119.300 ,ALTEN,120.000 ,2022-10-26  14:37:02,+1.24%,21 910 
